transaction_id, is_refund, corr_transaction_identifier, date_time, transaction_date_type, transaction_date_other, amount, currency, payment_method_type, payment_method_other, initiated_at_physical_premises_of_merchant, payer_ms, payer_ms_source, psp_role_type, psp_role_other, reported_payee_id
PL-1-26,true,PT-1,2025-03-20T05:47:15Z,CESOP701,CESOP701,1113441.00,DKK,Bank transfer,TODO,true,RO,OBAN,Acquirer,other,f051ea8c-4f54-4fa9-ae4e-a9e39528e8bc
SE-1-27,true,SI-1,2025-03-26T01:11:02Z,CESOP701,CESOP701,2333.83,HUF,Direct debit,TODO,true,SK,BIC,e-Wallet provider,other,9798cc4b-1a0c-4d27-b637-719cbd3b13c2
AT-1-28,true,BE-1,2025-01-11T22:13:55Z,CESOP701,CESOP701,1111.00,MYR,E-money,TODO,true,BG,Other,Money Transfer operator,other,0727efb2-0c7c-4641-9a77-c396bf87c527
CY-1-29,true,CZ-1,2025-03-17T19:15:40Z,CESOP701,CESOP701,1113441.00,PHP,Money Remittance,TODO,true,DE,IBAN,Issuer of payment instruments,other,23704def-d1c5-4014-ad89-4b3fa9dfe35b
DK-1-30,true,EE-1,2025-02-17T04:12:36Z,CESOP701,CESOP701,2333.83,ARS,Marketplace,TODO,true,ES,OBAN,Payment Processor,other,215a4e35-541d-45f1-84c7-ebbd387497d8
FI-1-31,true,FR-1,2025-02-09T04:01:12Z,CESOP701,CESOP701,1111.00,TWD,Intermediary,TODO,true,GR,BIC,E-payment,other,40d47da1-9930-4550-a153-5089dbdbc9df
HR-1-32,true,HU-1,2025-03-17T04:00:01Z,CESOP701,CESOP701,1113441.00,CLP,Other,TODO,true,IE,Other,Payment collector,other,a3058187-0959-4cf6-a081-2d34fa7f5c1f
IT-1-33,true,LT-1,2025-02-06T23:42:16Z,CESOP701,CESOP701,2333.83,COP,Card payment,TODO,true,LU,IBAN,Other,other,8d561101-abc8-4f46-9bf6-094453e94885
LV-1-34,true,MT-1,2025-02-03T02:48:08Z,CESOP701,CESOP701,1111.00,PKR,Bank transfer,TODO,true,NL,OBAN,Three party card scheme,other,2ca2540b-81fd-43d7-aad1-9d4d731c0e95
PL-1-35,true,PT-1,2025-03-29T17:58:28Z,CESOP701,CESOP701,1113441.00,RON,Direct debit,TODO,true,RO,BIC,Four party card scheme,other,a64166f5-5406-477a-bbc3-c14d85253f14
SE-1-36,true,SI-1,2025-02-16T05:59:31Z,CESOP701,CESOP701,2333.83,SAR,E-money,TODO,true,SK,Other,E-money provider,other,a70e21e0-a29f-4bf0-948d-1b77022f6069
AT-1-37,true,BE-1,2025-03-11T05:36:41Z,CESOP701,CESOP701,1111.00,NPR,Money Remittance,TODO,true,BG,IBAN,Acquirer,other,90067468-a304-4797-bd56-bbb3c35b41ca
CY-1-38,true,CZ-1,2025-01-19T04:53:09Z,CESOP701,CESOP701,1113441.00,EGP,Marketplace,TODO,true,DE,OBAN,e-Wallet provider,other,7d898f9b-95a1-48b5-8016-7a1337f39f00
DK-1-39,true,EE-1,2025-02-12T04:51:44Z,CESOP701,CESOP701,2333.83,MAD,Intermediary,TODO,true,ES,BIC,Money Transfer operator,other,1b6d47a8-2e05-450d-b17e-c96f4b5de681
FI-1-40,true,FR-1,2025-03-04T03:40:10Z,CESOP701,CESOP701,1111.00,BHD,Other,TODO,true,GR,Other,Issuer of payment instruments,other,bf75d2da-b306-4366-be28-282994dbf056
HR-1-41,true,HU-1,2025-02-25T12:21:03Z,CESOP701,CESOP701,1113441.00,KWD,Card payment,TODO,true,IE,IBAN,Payment Processor,other,380e7dc9-9510-4952-99f4-d8e3fd6ff159
IT-1-42,true,LT-1,2025-03-09T10:44:55Z,CESOP701,CESOP701,2333.83,OMR,Bank transfer,TODO,true,LU,OBAN,E-payment,other,266d9469-11c9-4b75-8e2b-d71d691b1493
LV-1-43,true,MT-1,2025-01-06T01:14:20Z,CESOP701,CESOP701,1111.00,QAR,Direct debit,TODO,true,NL,BIC,Payment collector,other,b9434c5d-4dc9-43a5-939a-b1c35a44d12f
PL-1-44,true,PT-1,2025-01-03T22:41:21Z,CESOP701,CESOP701,1113441.00,VND,E-money,TODO,true,RO,Other,Other,other,54d2ad35-e878-4e28-8dd1-5a5a4ae06aea
SE-1-45,true,SI-1,2025-02-06T05:32:22Z,CESOP701,CESOP701,2333.83,LKR,Money Remittance,TODO,true,SK,IBAN,Three party card scheme,other,be3e92de-db06-4bed-9672-7177652cc17e
AT-1-46,true,BE-1,2025-01-24T09:59:39Z,CESOP701,CESOP701,1111.00,ISK,Marketplace,TODO,true,BG,OBAN,Four party card scheme,other,bcb4125d-1d03-4cf8-a9a4-23758c1c8b12
CY-1-47,true,CZ-1,2025-02-28T06:16:33Z,CESOP701,CESOP701,1113441.00,JOD,Intermediary,TODO,true,DE,BIC,E-money provider,other,cbb30e51-01a7-4696-aac2-ebef36978bf0
DK-1-48,true,EE-1,2025-01-02T11:22:57Z,CESOP701,CESOP701,2333.83,BAM,Other,TODO,true,ES,Other,Acquirer,other,32531fc4-7cac-4b98-a67f-015dae17008f
FI-1-49,true,FR-1,2025-03-27T22:26:28Z,CESOP701,CESOP701,1111.00,MDL,Card payment,TODO,true,GR,IBAN,e-Wallet provider,other,428926a9-fbe3-465a-a4f6-188b8ea73c31
HR-1-50,true,HU-1,2025-03-15T21:43:47Z,CESOP701,CESOP701,1113441.00,UAH,Bank transfer,TODO,true,IE,OBAN,Money Transfer operator,other,52387bac-707e-4470-b594-c5eb7e2e4241
IT-1-51,true,LT-1,2025-02-22T16:58:25Z,CESOP701,CESOP701,2333.83,USD,Direct debit,TODO,true,LU,BIC,Issuer of payment instruments,other,97836fbd-3b8b-435f-9e8f-cd106d59935c
LV-1-52,true,MT-1,2025-02-17T23:44:04Z,CESOP701,CESOP701,1111.00,EUR,E-money,TODO,true,NL,Other,Payment Processor,other,a39b7d95-1b9d-4412-824b-4f3c89f16ea9
PL-1-53,true,PT-1,2025-01-14T17:22:44Z,CESOP701,CESOP701,1113441.00,JPY,Money Remittance,TODO,true,RO,IBAN,E-payment,other,284b9111-8919-4d74-b395-894d8d9316c2
SE-1-54,true,SI-1,2025-03-22T15:00:21Z,CESOP701,CESOP701,2333.83,GBP,Marketplace,TODO,true,SK,OBAN,Payment collector,other,e5682cd8-16b1-4d81-b354-00890882fb9b
AT-1-55,true,BE-1,2025-01-25T13:40:03Z,CESOP701,CESOP701,1111.00,AUD,Intermediary,TODO,true,BG,BIC,Other,other,c8d9945d-7e2f-46ad-8ec6-1d6a2e2d299f
CY-1-56,true,CZ-1,2025-02-24T04:14:42Z,CESOP701,CESOP701,1113441.00,CAD,Other,TODO,true,DE,Other,Three party card scheme,other,5cee8597-3905-423f-81bd-069e8a092724
DK-1-57,true,EE-1,2025-02-28T00:31:25Z,CESOP701,CESOP701,2333.83,CHF,Card payment,TODO,true,ES,IBAN,Four party card scheme,other,e5125e0e-7b2f-43bb-973c-792ff7fd9b60
FI-1-58,true,FR-1,2025-03-01T20:28:53Z,CESOP701,CESOP701,1111.00,CNY,Bank transfer,TODO,true,GR,OBAN,E-money provider,other,0fd9d96d-e919-4e64-9fe2-ffa4cdd6966b
HR-1-59,true,HU-1,2025-01-28T17:39:31Z,CESOP701,CESOP701,1113441.00,SEK,Direct debit,TODO,true,IE,BIC,Acquirer,other,83fc8d58-3e8e-4e6e-aff0-6ef484b48234
IT-1-60,true,LT-1,2025-01-23T11:39:53Z,CESOP701,CESOP701,2333.83,NZD,E-money,TODO,true,LU,Other,e-Wallet provider,other,dc99aa62-09dc-431d-945f-0efd9628515c
LV-1-61,true,MT-1,2025-02-04T10:23:41Z,CESOP701,CESOP701,1111.00,MXN,Money Remittance,TODO,true,NL,IBAN,Money Transfer operator,other,f0a292ae-fabb-4f73-88e7-705936f164b6
PL-1-62,true,PT-1,2025-01-21T19:15:42Z,CESOP701,CESOP701,1113441.00,SGD,Marketplace,TODO,true,RO,OBAN,Issuer of payment instruments,other,fbce3c91-8825-4d5e-8a08-efe76e7e249e
SE-1-63,true,SI-1,2025-02-07T19:42:12Z,CESOP701,CESOP701,2333.83,HKD,Intermediary,TODO,true,SK,BIC,Payment Processor,other,3ba96012-5071-4549-abf1-682617f37186
AT-1-64,true,BE-1,2025-02-14T20:39:03Z,CESOP701,CESOP701,1111.00,NOK,Other,TODO,true,BG,Other,E-payment,other,682875bc-2b39-4e7e-b4b7-fb5113f3d9a8
CY-1-65,true,CZ-1,2025-02-11T02:20:23Z,CESOP701,CESOP701,1113441.00,ILS,Card payment,TODO,true,DE,IBAN,Payment collector,other,e1aa78a3-b69e-4a15-a3aa-bf60adf4b980
DK-1-66,true,EE-1,2025-01-20T20:14:31Z,CESOP701,CESOP701,2333.83,KRW,Bank transfer,TODO,true,ES,OBAN,Other,other,c9cefd49-8b3e-4007-b4ad-0fbb5bbd2300
FI-1-67,true,FR-1,2025-02-28T04:23:29Z,CESOP701,CESOP701,1111.00,TRY,Direct debit,TODO,true,GR,BIC,Three party card scheme,other,7badba9e-e82f-427e-8222-face4a367f73
HR-1-68,true,HU-1,2025-03-17T02:44:38Z,CESOP701,CESOP701,1113441.00,RUB,E-money,TODO,true,IE,Other,Four party card scheme,other,d62d16e6-42bb-431e-bce0-90c39f2482a1
IT-1-69,true,LT-1,2025-02-15T13:35:30Z,CESOP701,CESOP701,2333.83,INR,Money Remittance,TODO,true,LU,IBAN,E-money provider,other,96b38e42-e476-49f8-9ef0-27b04b0cb8f7
LV-1-70,true,MT-1,2025-03-03T18:19:39Z,CESOP701,CESOP701,1111.00,BRL,Marketplace,TODO,true,NL,OBAN,Acquirer,other,945cd568-d69c-4dd2-aeb7-ceb1653c7bca
PL-1-71,true,PT-1,2025-03-14T15:13:03Z,CESOP701,CESOP701,1113441.00,ZAR,Intermediary,TODO,true,RO,BIC,e-Wallet provider,other,b563b7ef-a72c-4675-991a-7bcf3760af4b
SE-1-72,true,SI-1,2025-01-13T19:23:14Z,CESOP701,CESOP701,2333.83,AED,Other,TODO,true,SK,Other,Money Transfer operator,other,6af71955-2c2c-4693-816b-700944589076
AT-1-73,true,BE-1,2025-03-31T18:31:57Z,CESOP701,CESOP701,1111.00,PLN,Card payment,TODO,true,BG,IBAN,Issuer of payment instruments,other,1aff0366-b82d-47a4-ae63-0bb153719079
CY-1-74,true,CZ-1,2025-03-06T05:03:32Z,CESOP701,CESOP701,1113441.00,THB,Bank transfer,TODO,true,DE,OBAN,Payment Processor,other,81c1ae79-4ec9-479f-8521-4d08526ddf9c
DK-1-75,true,EE-1,2025-02-24T02:52:02Z,CESOP701,CESOP701,2333.83,CZK,Direct debit,TODO,true,ES,BIC,E-payment,other,16db9521-a1de-4ebf-89e6-9fa3d519416d
FI-1-76,true,FR-1,2025-01-28T23:17:28Z,CESOP701,CESOP701,1111.00,DKK,E-money,TODO,true,GR,Other,Payment collector,other,1487abeb-aeb4-47a4-bd8d-038ca3a77cbc
HR-1-77,true,HU-1,2025-02-05T13:05:12Z,CESOP701,CESOP701,1113441.00,HUF,Money Remittance,TODO,true,IE,IBAN,Other,other,121df144-0811-4e92-88f1-05717345c0f0
IT-1-78,true,LT-1,2025-01-25T20:02:29Z,CESOP701,CESOP701,2333.83,MYR,Marketplace,TODO,true,LU,OBAN,Three party card scheme,other,33c27bbb-610a-4097-acfd-055fe51574c2
LV-1-79,true,MT-1,2025-01-07T20:08:32Z,CESOP701,CESOP701,1111.00,PHP,Intermediary,TODO,true,NL,BIC,Four party card scheme,other,601d3784-64ef-402a-b0f1-75395a7174db
PL-1-80,true,PT-1,2025-02-22T10:50:15Z,CESOP701,CESOP701,1113441.00,ARS,Other,TODO,true,RO,Other,E-money provider,other,bcc54e85-53ba-48dd-9f68-456ba7a6ccd3
SE-1-81,true,SI-1,2025-01-26T06:48:54Z,CESOP701,CESOP701,2333.83,TWD,Card payment,TODO,true,SK,IBAN,Acquirer,other,ca09745d-a10a-49b6-8b00-47bce39e2d7a
AT-1-82,true,BE-1,2025-03-14T13:11:08Z,CESOP701,CESOP701,1111.00,CLP,Bank transfer,TODO,true,BG,OBAN,e-Wallet provider,other,7f3aef4f-3fc8-4507-ab2d-9e571b72a646
CY-1-83,true,CZ-1,2025-02-22T11:06:46Z,CESOP701,CESOP701,1113441.00,COP,Direct debit,TODO,true,DE,BIC,Money Transfer operator,other,25960857-9c03-4f8b-8b5a-90f98e79add7
DK-1-84,true,EE-1,2025-01-02T12:45:14Z,CESOP701,CESOP701,2333.83,PKR,E-money,TODO,true,ES,Other,Issuer of payment instruments,other,2c655bc2-c41b-46c8-96f6-47bfb6c4a6aa
FI-1-85,true,FR-1,2025-01-24T11:39:42Z,CESOP701,CESOP701,1111.00,RON,Money Remittance,TODO,true,GR,IBAN,Payment Processor,other,7299002f-2d5f-4ff6-a7db-5337e1e8c0ca
HR-1-86,true,HU-1,2025-01-19T11:27:56Z,CESOP701,CESOP701,1113441.00,SAR,Marketplace,TODO,true,IE,OBAN,E-payment,other,0acbeea1-81ed-43a7-a3d6-8f7d8adc0743
IT-1-87,true,LT-1,2025-02-01T20:27:35Z,CESOP701,CESOP701,2333.83,NPR,Intermediary,TODO,true,LU,BIC,Payment collector,other,f94cd941-bfe4-4d33-98ac-432c05f16146
LV-1-88,true,MT-1,2025-02-05T02:40:32Z,CESOP701,CESOP701,1111.00,EGP,Other,TODO,true,NL,Other,Other,other,57259718-54f5-47df-a8c5-c1ae01ebc092
PL-1-89,true,PT-1,2025-01-09T20:46:57Z,CESOP701,CESOP701,1113441.00,MAD,Card payment,TODO,true,RO,IBAN,Three party card scheme,other,dc5d19f4-eba4-4754-b08a-604bcdf6fbd2
SE-1-90,true,SI-1,2025-03-28T23:59:20Z,CESOP701,CESOP701,2333.83,BHD,Bank transfer,TODO,true,SK,OBAN,Four party card scheme,other,76b74614-c2c4-4ca3-bc1b-b1521a3ea00d
AT-1-91,true,BE-1,2025-03-16T10:47:50Z,CESOP701,CESOP701,1111.00,KWD,Direct debit,TODO,true,BG,BIC,E-money provider,other,66c2174f-2692-432e-a280-9a7a1b7f7227
CY-1-92,true,CZ-1,2025-01-16T22:48:09Z,CESOP701,CESOP701,1113441.00,OMR,E-money,TODO,true,DE,Other,Acquirer,other,dfcc34ea-0e83-4137-88b5-e0c4ffbf975e
DK-1-93,true,EE-1,2025-02-18T08:24:18Z,CESOP701,CESOP701,2333.83,QAR,Money Remittance,TODO,true,ES,IBAN,e-Wallet provider,other,e28f2483-10d2-4d7a-a7cf-3781b72a6bf8
FI-1-94,true,FR-1,2025-03-28T19:06:19Z,CESOP701,CESOP701,1111.00,VND,Marketplace,TODO,true,GR,OBAN,Money Transfer operator,other,80cef110-836b-4c56-9a40-a3396d0995f8
HR-1-95,true,HU-1,2025-03-15T09:16:52Z,CESOP701,CESOP701,1113441.00,LKR,Intermediary,TODO,true,IE,BIC,Issuer of payment instruments,other,201b86be-e0f6-4a7a-8c0e-cba5b26da908
IT-1-96,true,LT-1,2025-01-11T04:54:22Z,CESOP701,CESOP701,2333.83,ISK,Other,TODO,true,LU,Other,Payment Processor,other,cb22b725-0ad4-48b9-8ef1-0c35735b7610
LV-1-97,true,MT-1,2025-01-15T17:49:09Z,CESOP701,CESOP701,1111.00,JOD,Card payment,TODO,true,NL,IBAN,E-payment,other,bdf99324-e895-401c-adb8-35c104faa010
PL-1-98,true,PT-1,2025-01-04T19:43:45Z,CESOP701,CESOP701,1113441.00,BAM,Bank transfer,TODO,true,RO,OBAN,Payment collector,other,ab70e747-c245-4ef5-a3b1-41cb4501eeba
SE-1-99,true,SI-1,2025-03-15T13:39:53Z,CESOP701,CESOP701,2333.83,MDL,Direct debit,TODO,true,SK,BIC,Other,other,72333eb4-c9dd-45cb-9caf-12768e252ff3
AT-1-100,true,BE-1,2025-03-18T16:59:11Z,CESOP701,CESOP701,1111.00,UAH,E-money,TODO,true,BG,Other,Three party card scheme,other,532b03b1-0ccb-4906-ad2d-3e3fccc4f651
CY-1-101,true,CZ-1,2025-03-15T07:34:57Z,CESOP701,CESOP701,1113441.00,USD,Money Remittance,TODO,true,DE,IBAN,Four party card scheme,other,7ec7e4f9-247a-40ba-9125-679ae7e5cacb
DK-1-102,true,EE-1,2025-03-12T01:12:20Z,CESOP701,CESOP701,2333.83,EUR,Marketplace,TODO,true,ES,OBAN,E-money provider,other,ccd78f6a-04f7-4dc6-b2e5-bdb37817cf60
FI-1-103,true,FR-1,2025-02-04T01:55:28Z,CESOP701,CESOP701,1111.00,JPY,Intermediary,TODO,true,GR,BIC,Acquirer,other,c258efa7-fa4b-4827-a264-310a7e6de397
HR-1-104,true,HU-1,2025-03-09T16:55:02Z,CESOP701,CESOP701,1113441.00,GBP,Other,TODO,true,IE,Other,e-Wallet provider,other,019f0ab3-3465-44c3-9939-c945def0252f
IT-1-105,true,LT-1,2025-03-18T21:46:36Z,CESOP701,CESOP701,2333.83,AUD,Card payment,TODO,true,LU,IBAN,Money Transfer operator,other,c221b7bb-cb7f-4be4-a3c2-5fa177eff49b
LV-1-106,true,MT-1,2025-02-26T04:24:27Z,CESOP701,CESOP701,1111.00,CAD,Bank transfer,TODO,true,NL,OBAN,Issuer of payment instruments,other,7597b6b4-bc63-4ac1-acf8-44f9a6a871cb
PL-1-107,true,PT-1,2025-01-12T12:53:20Z,CESOP701,CESOP701,1113441.00,CHF,Direct debit,TODO,true,RO,BIC,Payment Processor,other,2e891052-4701-48a7-9d59-ad7f5f4c1fb9
SE-1-108,true,SI-1,2025-01-27T19:25:05Z,CESOP701,CESOP701,2333.83,CNY,E-money,TODO,true,SK,Other,E-payment,other,8d5e4551-4cdd-4554-987a-667878a6bb2e
AT-1-109,true,BE-1,2025-02-12T19:10:06Z,CESOP701,CESOP701,1111.00,SEK,Money Remittance,TODO,true,BG,IBAN,Payment collector,other,4799fe38-06cf-44a6-80d9-286d6703cc49
CY-1-110,true,CZ-1,2025-02-16T19:43:43Z,CESOP701,CESOP701,1113441.00,NZD,Marketplace,TODO,true,DE,OBAN,Other,other,20bcd702-997c-421f-861d-4eb6f9b7c560
DK-1-111,true,EE-1,2025-02-08T08:15:20Z,CESOP701,CESOP701,2333.83,MXN,Intermediary,TODO,true,ES,BIC,Three party card scheme,other,114bd003-806b-4024-8705-4e4a937e5238
FI-1-112,true,FR-1,2025-03-12T01:38:17Z,CESOP701,CESOP701,1111.00,SGD,Other,TODO,true,GR,Other,Four party card scheme,other,bbb037da-8ec6-4ec2-a71e-15a946cff9a3
HR-1-113,true,HU-1,2025-01-15T23:46:54Z,CESOP701,CESOP701,1113441.00,HKD,Card payment,TODO,true,IE,IBAN,E-money provider,other,3271b72e-f0a6-4221-9f68-27b19c0a0e07
IT-1-114,true,LT-1,2025-01-09T16:17:57Z,CESOP701,CESOP701,2333.83,NOK,Bank transfer,TODO,true,LU,OBAN,Acquirer,other,24ace8c8-e77a-4fb2-9226-d15f43d2e3fb
LV-1-115,true,MT-1,2025-01-01T12:10:08Z,CESOP701,CESOP701,1111.00,ILS,Direct debit,TODO,true,NL,BIC,e-Wallet provider,other,0d6b9cb5-b32c-424a-8232-8a3fd10dc27b
PL-1-116,true,PT-1,2025-03-20T15:20:18Z,CESOP701,CESOP701,1113441.00,KRW,E-money,TODO,true,RO,Other,Money Transfer operator,other,b896f6cd-79c8-44d4-807a-470dfa0fe33c
SE-1-117,true,SI-1,2025-01-19T22:57:02Z,CESOP701,CESOP701,2333.83,TRY,Money Remittance,TODO,true,SK,IBAN,Issuer of payment instruments,other,b6b59cfe-e8b0-4c6f-8525-e914e3e88c33
AT-1-118,true,BE-1,2025-01-11T10:13:56Z,CESOP701,CESOP701,1111.00,RUB,Marketplace,TODO,true,BG,OBAN,Payment Processor,other,a92a9faa-6275-47c6-a4ab-551dc6ae8a6f
CY-1-119,true,CZ-1,2025-01-23T21:54:20Z,CESOP701,CESOP701,1113441.00,INR,Intermediary,TODO,true,DE,BIC,E-payment,other,ecf8793c-d3f1-4e59-a312-73088425154d
DK-1-120,true,EE-1,2025-03-01T20:30:40Z,CESOP701,CESOP701,2333.83,BRL,Other,TODO,true,ES,Other,Payment collector,other,aa50edcc-3360-4818-b3e1-47c8a85f1308
FI-1-121,true,FR-1,2025-01-27T08:12:18Z,CESOP701,CESOP701,1111.00,ZAR,Card payment,TODO,true,GR,IBAN,Other,other,8e65a5c7-fc9b-4131-91bb-ed457c7a4656
HR-1-122,true,HU-1,2025-03-10T04:14:11Z,CESOP701,CESOP701,1113441.00,AED,Bank transfer,TODO,true,IE,OBAN,Three party card scheme,other,b41ab9d7-71b8-4747-b6d3-865322caecaa
IT-1-123,true,LT-1,2025-02-13T22:37:06Z,CESOP701,CESOP701,2333.83,PLN,Direct debit,TODO,true,LU,BIC,Four party card scheme,other,49cf7c4b-342d-4444-bbdd-ee206cbfe393
LV-1-124,true,MT-1,2025-01-13T07:09:38Z,CESOP701,CESOP701,1111.00,THB,E-money,TODO,true,NL,Other,E-money provider,other,879652d5-2d4a-400f-8a80-cdd7966d5236
PL-1-125,true,PT-1,2025-02-08T04:55:53Z,CESOP701,CESOP701,1113441.00,CZK,Money Remittance,TODO,true,RO,IBAN,Acquirer,other,d1ec23ca-873e-4efe-8053-cc54539772c8
SE-1-126,true,SI-1,2025-01-26T13:34:32Z,CESOP701,CESOP701,2333.83,DKK,Marketplace,TODO,true,SK,OBAN,e-Wallet provider,other,83e265b8-cbb1-42bb-9db0-a1ec649f4410
AT-1-127,true,BE-1,2025-01-03T04:05:39Z,CESOP701,CESOP701,1111.00,HUF,Intermediary,TODO,true,BG,BIC,Money Transfer operator,other,71b8260a-54c4-4083-962d-55aa16db12ce
CY-1-128,true,CZ-1,2025-02-25T03:31:15Z,CESOP701,CESOP701,1113441.00,MYR,Other,TODO,true,DE,Other,Issuer of payment instruments,other,ce7dc65c-2494-4176-8511-3b12270398b7
DK-1-129,true,EE-1,2025-01-03T02:08:58Z,CESOP701,CESOP701,2333.83,PHP,Card payment,TODO,true,ES,IBAN,Payment Processor,other,c1d00179-f228-465a-903f-0d0bc7db3067
FI-1-130,true,FR-1,2025-03-23T12:21:06Z,CESOP701,CESOP701,1111.00,ARS,Bank transfer,TODO,true,GR,OBAN,E-payment,other,dc4668a5-6496-4aa9-ab35-f548d4c0ee78
